mean_fee,service_count,above_cap,sa3_code,sa3_name,sa4_code,sa4_name,file_source,year,month,date,city,cccpi,cpi,base_fee,index_fee,base_cccpi,index_cccpi,base_cpi,index_cpi,base_prescpi,index_prescpi,adj_fee,prop_above,aprox_sub,sub_lvl
13.11,34,31,12002,Leichhardt,120,Sydney - Inner West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.94,101.31375579598145,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.801438797423048,0.9117647058823529,0.46148306870873057,control
11.14,66,20,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11,101.27272727272727,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.178339298496779,0.30303030303030304,0.42045454545454675,control
12.87,65,44,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,12.58,102.30524642289348,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,10.603700787401573,0.676923076923077,1.4529736956207557,control
10.97,39,9,12102,Hornsby,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.7,102.52336448598132,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.038274874731568,0.23076923076923078,1.6710917587085987,control
13.51,45,40,12103,Ku-ring-gai,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,13.29,101.65537998495108,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.131002147458839,0.8888888888888888,0.8031072576783629,control
14.36,43,42,12104,North Sydney - Mosman,121,Sydney - North Sydney and Hornsby,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,14.26,100.70126227208975,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.831324266284897,0.9767441860465116,-0.15101045518296985,control
13.59,20,19,12201,Manly,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,13.36,101.72155688622755,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,11.196914817465997,0.95,0.8692841589548266,control
11.43,20,8,12202,Pittwater,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.24,101.69039145907473,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.417272727272726,0.4,0.8381187318020125,control
11.33,71,17,12203,Warringah,122,Sydney - Northern Beaches,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.17,101.43240823634736,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.33488188976378,0.23943661971830985,0.580135509074637,control
9.14,33,0,12301,Camden,123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.06,100.88300220750553,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.530522548317824,0,0.030729480232807305,control
8.55,77,1,12302,Campbelltown (NSW),123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.38,102.02863961813841,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.044416607015032,0.012987012987012988,1.176366890865694,control
7.79,16,0,12303,Wollondilly,123,Sydney - Outer South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,7.61,102.36530880420499,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,6.4182462419470285,0,1.5130360769322664,control
9.23,24,0,12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.07,101.76405733186328,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.6046743020758765,0,0.9117846045905651,control
9.24,75,1,12403,Penrith,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.12,101.31578947368422,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.612913385826771,0.013333333333333334,0.4635167464115,control
8.9,19,0,12404,Richmond - Windsor,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.67,102.65282583621685,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.332784538296349,0,1.8005531089441291,control
9.03,22,0,12405,St Marys,124,Sydney - Outer West and Blue Mountains,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.71,103.67393800229618,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.439892627057981,0,2.821665275023463,control
10.43,27,5,12501,Auburn,125,Sydney - Parramatta,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.25,101.7560975609756,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.593364352183249,0.18518518518518517,0.9038248337028847,control
10.57,25,3,12502,Carlingford,125,Sydney - Parramatta,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.4,101.63461538461537,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.708711524695776,0.12,0.7823426573426531,control
9.15,81,4,12503,Merrylands - Guildford,125,Sydney - Parramatta,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.99,101.77975528364851,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.538761632068718,0.04938271604938271,0.9274825563757929,control
9.71,79,4,12504,Parramatta,125,Sydney - Parramatta,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.55,101.67539267015707,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.000150322118825,0.05063291139240506,0.8231199428843468,control
11.35,20,6,12601,Pennant Hills - Epping,126,Sydney - Ryde,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.05,102.71493212669682,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.351360057265568,0.3,1.8626593994241034,control
11.64,65,30,12602,Ryde - Hunters Hill,126,Sydney - Ryde,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,11.24,103.55871886120997,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,9.590293486041517,0.46153846153846156,2.7064461339372485,control
8.96,56,1,12701,Bringelly - Green Valley,127,Sydney - South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.78,102.05011389521641,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.3822190408017185,0.017857142857142856,1.197841167943693,control
9.13,68,4,12702,Fairfield,127,Sydney - South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.01,101.33185349611544,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.52228346456693,0.058823529411764705,0.47958076884272316,control
8.9,60,2,12703,Liverpool,127,Sydney - South West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,8.66,102.77136258660508,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.332784538296349,0.03333333333333333,1.9190898593323595,control
10.45,60,6,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,10.25,101.95121951219512,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,8.609842519685039,0.1,1.0989467849224042,control
9.7,61,2,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,syd,142,115.1,9.54,101.67714884696018,140.8,100.85227272727272,115.2,99.91319444444444,139.7,82.39083750894774,7.991911238367931,0.03278688524590164,0.8248761196874597,control
10.94,31,2,20601,Brunswick - Coburg,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.68,102.43445692883894,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.995111111111111,0.06451612903225806,-1.4031814475448101,control
11.49,17,4,20602,Darebin - South,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.37,101.05540897097627,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.447333333333335,0.23529411764705882,-2.7822294054074774,control
11.03,21,7,20603,Essendon,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.94,100.82266910420475,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.069111111111111,0.3333333333333333,-3.014969272179002,control
12.05,43,24,20604,Melbourne City,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.86,101.60202360876897,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.90777777777778,0.5581395348837209,-2.235614767614777,control
12.1,36,25,20605,Port Phillip,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.98,101.0016694490818,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.94888888888889,0.6944444444444444,-2.8359689273019484,control
12.4,16,9,20606,Stonnington - West,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,12.24,101.30718954248366,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,10.195555555555556,0.5625,-2.5304488339000955,control
11.44,33,10,20607,Yarra,206,Melbourne - Inner,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.39,100.43898156277436,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.406222222222222,0.30303030303030304,-3.398656813609392,control
12.33,43,27,20701,Boroondara,207,Melbourne - Inner East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,12.15,101.48148148148148,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,10.138,0.627906976744186,-2.35615689490227,control
10.51,25,3,20702,Manningham - West,207,Melbourne - Inner East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.46,100.47801147227533,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.641555555555556,0.12,-3.359626904108424,control
11.2,28,6,20703,Whitehorse - West,207,Melbourne - Inner East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.23,99.73285841495992,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.20888888888889,0.21428571428571427,-4.10477996142383,control
12.68,32,23,20801,Bayside,208,Melbourne - Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,12.35,102.67206477732793,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,10.425777777777778,0.71875,-1.1655735990558185,control
